name_1,name_2,sku,manufacturer_sku,manufacturer,color_code_mfr,category_sorting,weight,url_key,url_key_config_prod,status,visibility,release_location,affiliate_commission,remove_from_feed,exclude_discount,country_of_manufacturer,tariffcode,tarifftext,color_multi,color_simple,size_textil,color_code_mfr,textil_material_total,sex_multi,gender,special_description,manufacturer_detail,description,sort_description,description_manufacturer,price,special_price,final_price,cost,store_price,meta_title,meta_description,meta_keyword,related_products_keyword,category_id,category,image,image1,image2,image3,image4,image5,parent_qty,ean,new_category,sorting,base_image,saleprice_start,Saleprice_end,shipping_restriction,Erstelldatum
The North Face Arctic Triclimate Jacket ( NF0A5GFLJK3 / TNF Black ),,46970,NF0A5GFLJK3,The North Face,TNF Black,-20211214,0.8,the-north-face-arctic-triclimate-jacket-nf0a5gfljk3-tnf-black,the-north-face-arctic-triclimate-jacket-nf0a5gfljk3-tnf-black,Enabled,Catalog  Search,Instore & Online,0,0,0,ID,610130,Synth. Fiber  Jacket  Mens,Schwarz,,,TNF Black,100% Polyester,männlich,Men,,,,,,449,,449,209.3500,449,The North Face Arctic Triclimate Jacket ( NF0A5GFLJK3 / TNF Black ),The North Face Arctic Triclimate Jacket ( NF0A5GFLJK3 / TNF Black )  Clothing  Clothing  Men  Men  Jackets  Jackets,The North Face Arctic Triclimate Jacket ( NF0A5GFLJK3 / TNF Black )  Clothing  Clothing  Men  Men  Jackets  Jackets,The North Face Arctic Triclimate Jacket,31,Jacken,https://www.overkillshop.com/media/catalog/product/n/f/nf0a5gfljk3_1.jpg,https://www.overkillshop.com/media/catalog/product/n/f/nf0a5gfljk3_1.jpg,https://www.overkillshop.com/media/catalog/product/n/f/nf0a5gfljk3_2.jpg,https://www.overkillshop.com/media/catalog/product/n/f/nf0a5gfljk3_3.jpg,https://www.overkillshop.com/media/catalog/product/n/f/nf0a5gfljk3_4_1.jpg,https://www.overkillshop.com/media/catalog/product/n/f/nf0a5gfljk3_5.jpg,9,,men-apparel-jackets-and-coats,-20211214,https://www.overkillshop.com/media/catalog/product/n/f/nf0a5gfljk3_1.jpg,,,Weltweiter Versand,2021-11-01T08:26:16+01:00
The North Face Arctic Triclimate Jacket ( NF0A5GFLJK3 / TNF Black )-XL,,46970-XL,NF0A5GFLJK3,The North Face,TNF Black,-20211214,0.8,the-north-face-artic-triclimate-jacket-nf0a5gfljk3-tnf-black-xl,the-north-face-arctic-triclimate-jacket-nf0a5gfljk3-tnf-black,Enabled,Not Visible Individually,Instore & Online,0,0,0,ID,610130,Synth. Fiber  Jacket  Mens,Schwarz,,XL,TNF Black,100% Polyester,männlich,Men,,,,,,449,,449,209.3500,449,The North Face Artic Triclimate Jacket ( NF0A5GFLJK3 / TNF Black ),The North Face Artic Triclimate Jacket ( NF0A5GFLJK3 / TNF Black )  Clothing  Clothing  Men  Men  Jackets  Jackets,The North Face Artic Triclimate Jacket ( NF0A5GFLJK3 / TNF Black )  Clothing  Clothing  Men  Men  Jackets  Jackets,,31,Jacken,,,,,,,0,195439132634,men-apparel-jackets-and-coats,-20211214,https://www.overkillshop.com/media/catalog/product/n/f/nf0a5gfljk3_1.jpg,,,Weltweiter Versand,2021-11-01T00:27:52+01:00
The North Face Arctic Triclimate Jacket ( NF0A5GFLJK3 / TNF Black )-2XL,,46970-2XL,NF0A5GFLJK3,The North Face,TNF Black,-20211214,0.8,the-north-face-artic-triclimate-jacket-nf0a5gfljk3-tnf-black-2xl,the-north-face-arctic-triclimate-jacket-nf0a5gfljk3-tnf-black,Enabled,Not Visible Individually,Instore & Online,0,0,0,ID,610130,Synth. Fiber  Jacket  Mens,Schwarz,,2XL,TNF Black,100% Polyester,männlich,Men,,,,,,449,,449,209.3500,449,The North Face Artic Triclimate Jacket ( NF0A5GFLJK3 / TNF Black ),The North Face Artic Triclimate Jacket ( NF0A5GFLJK3 / TNF Black )  Clothing  Clothing  Men  Men  Jackets  Jackets,The North Face Artic Triclimate Jacket ( NF0A5GFLJK3 / TNF Black )  Clothing  Clothing  Men  Men  Jackets  Jackets,,31,Jacken,,,,,,,0,195439132719,men-apparel-jackets-and-coats,-20211214,https://www.overkillshop.com/media/catalog/product/n/f/nf0a5gfljk3_1.jpg,,,Weltweiter Versand,2021-11-01T03:28:11+01:00
The North Face Telegraphic Coaches Jacket ( NF0A4SWLJK3 / TNF Black ),,46971,NF0A4SWLJK3,The North Face,TNF Black,-20211115,0.8,the-north-face-telegraphic-coaches-jacket-nf0a4swljk3-tnf-black,the-north-face-telegraphic-coaches-jacket-nf0a4swljk3-tnf-black,Enabled,Catalog  Search,Instore & Online,0,0,0,KH,610130,Synth. Fiber  Jacket  Mens,Schwarz,,,TNF Black,100% Nylon,männlich,Men,,,,,,134,,134,62.8000,134,The North Face Telegraphic Coaches Jacket ( NF0A4SWLJK3 / TNF Black ),The North Face Telegraphic Coaches Jacket ( NF0A4SWLJK3 / TNF Black )  Clothing  Clothing  Men  Men  Jackets  Jackets,The North Face Telegraphic Coaches Jacket ( NF0A4SWLJK3 / TNF Black )  Clothing  Clothing  Men  Men  Jackets  Jackets,The North Face Telegraphic Coaches Jacket,31,Jacken,https://www.overkillshop.com/media/catalog/product/n/f/nf0a4swljk3-m_1.jpg,https://www.overkillshop.com/media/catalog/product/n/f/nf0a4swljk3-m_1.jpg,https://www.overkillshop.com/media/catalog/product/n/f/nf0a4swljk3-m_2.jpg,https://www.overkillshop.com/media/catalog/product/n/f/nf0a4swljk3-m_3.jpg,https://www.overkillshop.com/media/catalog/product/n/f/nf0a4swljk3-m_4.jpg,,10,,men-apparel-jackets-and-coats,-20211115,https://www.overkillshop.com/media/catalog/product/n/f/nf0a4swljk3-m_1.jpg,,,Weltweiter Versand,2021-11-01T08:54:18+01:00
The North Face Telegraphic Coaches Jacket ( NF0A4SWLJK3 / TNF Black )-S,,46971-S,NF0A4SWLJK3,The North Face,TNF Black,-20211115,0.8,the-north-face-telegraphic-coaches-jacket-nf0a4swljk3-tnf-black-s,the-north-face-telegraphic-coaches-jacket-nf0a4swljk3-tnf-black,Enabled,Not Visible Individually,Instore & Online,0,0,0,KH,610130,Synth. Fiber  Jacket  Mens,Schwarz,,S,TNF Black,100% Nylon,männlich,Men,,,,,,134,,134,62.8000,134,The North Face Telegraphic Coaches Jacket ( NF0A4SWLJK3 / TNF Black ),The North Face Telegraphic Coaches Jacket ( NF0A4SWLJK3 / TNF Black )  Clothing  Clothing  Men  Men  Jackets  Jackets,The North Face Telegraphic Coaches Jacket ( NF0A4SWLJK3 / TNF Black )  Clothing  Clothing  Men  Men  Jackets  Jackets,,31,Jacken,,,,,,,0,192824715830,men-apparel-jackets-and-coats,-20211115,https://www.overkillshop.com/media/catalog/product/n/f/nf0a4swljk3-m_1.jpg,,,Weltweiter Versand,2021-11-01T07:04:13+01:00
The North Face Telegraphic Coaches Jacket ( NF0A4SWLJK3 / TNF Black )-M,,46971-M,NF0A4SWLJK3,The North Face,TNF Black,-20211115,0.8,the-north-face-telegraphic-coaches-jacket-nf0a4swljk3-tnf-black-m,the-north-face-telegraphic-coaches-jacket-nf0a4swljk3-tnf-black,Enabled,Not Visible Individually,Instore & Online,0,0,0,KH,610130,Synth. Fiber  Jacket  Mens,Schwarz,,M,TNF Black,100% Nylon,männlich,Men,,,,,,134,,134,62.8000,134,The North Face Telegraphic Coaches Jacket ( NF0A4SWLJK3 / TNF Black ),The North Face Telegraphic Coaches Jacket ( NF0A4SWLJK3 / TNF Black )  Clothing  Clothing  Men  Men  Jackets  Jackets,The North Face Telegraphic Coaches Jacket ( NF0A4SWLJK3 / TNF Black )  Clothing  Clothing  Men  Men  Jackets  Jackets,,31,Jacken,,,,,,,0,192824715939,men-apparel-jackets-and-coats,-20211115,https://www.overkillshop.com/media/catalog/product/n/f/nf0a4swljk3-m_1.jpg,,,Weltweiter Versand,2021-10-31T23:04:31+01:00
The North Face Telegraphic Coaches Jacket ( NF0A4SWLJK3 / TNF Black )-L,,46971-L,NF0A4SWLJK3,The North Face,TNF Black,-20211115,0.8,the-north-face-telegraphic-coaches-jacket-nf0a4swljk3-tnf-black-l,the-north-face-telegraphic-coaches-jacket-nf0a4swljk3-tnf-black,Enabled,Not Visible Individually,Instore & Online,0,0,0,KH,610130,Synth. Fiber  Jacket  Mens,Schwarz,,L,TNF Black,100% Nylon,männlich,Men,,,,,,134,,134,62.8000,134,The North Face Telegraphic Coaches Jacket ( NF0A4SWLJK3 / TNF Black ),The North Face Telegraphic Coaches Jacket ( NF0A4SWLJK3 / TNF Black )  Clothing  Clothing  Men  Men  Jackets  Jackets,The North Face Telegraphic Coaches Jacket ( NF0A4SWLJK3 / TNF Black )  Clothing  Clothing  Men  Men  Jackets  Jackets,,31,Jacken,,,,,,,0,192824716035,men-apparel-jackets-and-coats,-20211115,https://www.overkillshop.com/media/catalog/product/n/f/nf0a4swljk3-m_1.jpg,,,Weltweiter Versand,2021-11-01T05:04:49+01:00
The North Face Telegraphic Coaches Jacket ( NF0A4SWLJK3 / TNF Black )-XL,,46971-XL,NF0A4SWLJK3,The North Face,TNF Black,-20211115,0.8,the-north-face-telegraphic-coaches-jacket-nf0a4swljk3-tnf-black-xl,the-north-face-telegraphic-coaches-jacket-nf0a4swljk3-tnf-black,Enabled,Not Visible Individually,Instore & Online,0,0,0,KH,610130,Synth. Fiber  Jacket  Mens,Schwarz,,XL,TNF Black,100% Nylon,männlich,Men,,,,,,134,,134,62.8000,134,The North Face Telegraphic Coaches Jacket ( NF0A4SWLJK3 / TNF Black ),The North Face Telegraphic Coaches Jacket ( NF0A4SWLJK3 / TNF Black )  Clothing  Clothing  Men  Men  Jackets  Jackets,The North Face Telegraphic Coaches Jacket ( NF0A4SWLJK3 / TNF Black )  Clothing  Clothing  Men  Men  Jackets  Jackets,,31,Jacken,,,,,,,0,192824716233,men-apparel-jackets-and-coats,-20211115,https://www.overkillshop.com/media/catalog/product/n/f/nf0a4swljk3-m_1.jpg,,,Weltweiter Versand,2021-11-01T05:05:07+01:00
The North Face Telegraphic Coaches Jacket ( NF0A4SWLJK3 / TNF Black )-2XL,,46971-2XL,NF0A4SWLJK3,The North Face,TNF Black,-20211115,0.8,the-north-face-telegraphic-coaches-jacket-nf0a4swljk3-tnf-black-2xl,the-north-face-telegraphic-coaches-jacket-nf0a4swljk3-tnf-black,Enabled,Not Visible Individually,Instore & Online,0,0,0,KH,610130,Synth. Fiber  Jacket  Mens,Schwarz,,2XL,TNF Black,100% Nylon,männlich,Men,,,,,,134,,134,62.8000,134,The North Face Telegraphic Coaches Jacket ( NF0A4SWLJK3 / TNF Black ),The North Face Telegraphic Coaches Jacket ( NF0A4SWLJK3 / TNF Black )  Clothing  Clothing  Men  Men  Jackets  Jackets,The North Face Telegraphic Coaches Jacket ( NF0A4SWLJK3 / TNF Black )  Clothing  Clothing  Men  Men  Jackets  Jackets,,31,Jacken,,,,,,,0,192824716295,men-apparel-jackets-and-coats,-20211115,https://www.overkillshop.com/media/catalog/product/n/f/nf0a4swljk3-m_1.jpg,,,Weltweiter Versand,2021-11-01T06:05:33+01:00
The North Face Printed 1996 Retro Nuptse Jacket ( NF0A5IXK29J / Gravity Purple ),,46972,NF0A5IXK29J,The North Face,Gravity Purple - Leopard Print,-20211115,0.8,the-north-face-printed-1996-retro-nuptse-jacket-nf0a5ixk29j-gravity-purple,the-north-face-printed-1996-retro-nuptse-jacket-nf0a5ixk29j-gravity-purple,Enabled,Catalog  Search,Instore & Online,0,0,0,,610230,Synth. Fiber  Jacket  Wmns,Schwarz  Lila,,,Gravity Purple - Leopard Print,100% Polyester,weiblich,Women,,,,,,299,,299,139.5500,299,The North Face Printed 1996 Retro Nuptse Jacket ( NF0A5IXK29J / Gravity Purple ),The North Face Printed 1996 Retro Nuptse Jacket ( NF0A5IXK29J / Gravity Purple )  Clothing  Clothing  Women  Women  Jackets  Jackets,The North Face Printed 1996 Retro Nuptse Jacket ( NF0A5IXK29J / Gravity Purple )  Clothing  Clothing  Women  Women  Jackets  Jackets,The North Face Printed 1996 Retro Nuptse Jacket,35,Jacken,https://www.overkillshop.com/media/catalog/product/n/f/nf0a5ixk29j-m_1.jpg,https://www.overkillshop.com/media/catalog/product/n/f/nf0a5ixk29j-m_1.jpg,https://www.overkillshop.com/media/catalog/product/n/f/nf0a5ixk29j-m_2.jpg,https://www.overkillshop.com/media/catalog/product/n/f/nf0a5ixk29j-m_3.jpg,https://www.overkillshop.com/media/catalog/product/n/f/nf0a5ixk29j-m_4.jpg,,2,,women-apparel-jackets-and-coats,-20211115,https://www.overkillshop.com/media/catalog/product/n/f/nf0a5ixk29j-m_1.jpg,,,Weltweiter Versand,2021-11-01T09:38:03+01:00
